,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
289 ,Brede Hangeland ,Defender,7 ,3 ,6 ,10 ,1 ,1 ,1 ,10 ,60 ,31 ,0 ,26 ,45 ,27 ,6 ,26 ,12 ,0 ,1 ,0 ,242 ,35 ,0 ,0 ,0 ,0 ,12 ,2 ,0 ,13 ,2 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
290 ,Steve Harper ,Goalkeeper,0 ,0 ,0 ,,,,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,,0 ,0 ,0 ,0 ,,0 ,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
291 ,Joe Hart ,Goalkeeper,35 ,15 ,36 ,,,,,,,,,,,,,,,0 ,1 ,0 ,721 ,21 ,,,,,180 ,0 ,0 ,0 ,,0 ,,,,,,,,,,,,71 ,0 ,39 ,35 ,2 ,26 ,130 ,221 
292 ,Jakob Haugaard ,Goalkeeper,5 ,0 ,11 ,,,,,,,,,,,,,,,0 ,0 ,0 ,128 ,26 ,,,,,55 ,0 ,0 ,0 ,,0 ,,,,,,,,,,,,11 ,0 ,3 ,10 ,2 ,5 ,15 ,39 
293 ,Eden Hazard ,Forward,31 ,,,21 ,,,11 ,13 ,4 ,3 ,,,,,,,,,,3 ,1415 ,46 ,3 ,44 ,,,,2 ,0 ,15 ,10 ,4 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,36 ,14 ,0 ,1 ,,,,,,,,
294 ,Michael Hector ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
295 ,Jordan Henderson ,Midfielder,17 ,,,41 ,1 ,,11 ,22 ,17 ,7 ,,113 ,74 ,55 ,8 ,21 ,10 ,,0 ,3 ,939 ,55 ,1 ,47 ,0 ,3 ,79 ,1 ,0 ,10 ,3 ,2 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,26 ,6 ,0 ,0 ,,,,,,,,
296 ,Stephen Hendrie ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
297 ,Wayne Hennessey ,Goalkeeper,29 ,8 ,36 ,,,,,,,,,,,,,,,1 ,2 ,0 ,758 ,26 ,,,,,221 ,1 ,0 ,0 ,,0 ,,,,,,,,,,,,80 ,0 ,3 ,32 ,7 ,17 ,107 ,247 
298 ,Doneil Henry ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
